country,name,address,latitude,longitude
Spain,L'Hospitalet,"IKEA, 115-134, Avinguda de la Gran Via de l'Hospitalet, el Gornal, Districte VI, l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, 08908, España",41.3547218,2.1238503100820507
Spain,Goya,"IKEA, 47, Calle de Goya, Recoletos, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",40.4252733,-3.6823529
Spain,Serrano,"IKEA, 55, Calle de Serrano, Castellana, Salamanca, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28006, España",40.4316441,-3.6870066
Belgium,Anderlecht,"IKEA, Rue de Zuen - Zuunstraat, Anderlecht, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, 1070, België - Belgique - Belgien",50.8108599,4.291444842197057
Belgium,Arlon,"IKEA Arlon, 100, Rue de Grass, Rosenberg, Arlon, Luxembourg, Wallonie, 6700, België - Belgique - Belgien",49.63748565,5.891140554466112
Belgium,Gent,"IKEA Gent, 2, Maaltekouter, Maalte, Sint-Denijs-Westrem, Gent, Oost-Vlaanderen, Vlaanderen, 9051, België - Belgique - Belgien",51.02333615,3.6880788287245987
Belgium,Hasselt,"Ikea Hasselt, 45, Biezenstraat, Ikea, Runkst, Hasselt, Limburg, Vlaanderen, 3500, België - Belgique - Belgien",50.91926885,5.314083469447771
Belgium,Liege,"Ikea Hognoul, 7, Porte de Liège, Awans, Liège, Wallonie, 4342, België - Belgique - Belgien",50.6789177,5.462922116047608
Belgium,Mons,"Ikea Mons, 1a, Avenue Léo Collard, Les Grands Prés, La Quéwette, Mons, Hainaut, Wallonie, 7011, België - Belgique - Belgien",50.456402049999994,3.929755146990236
Iceland,Gardabaer,"IKEA Restaurant, 4, Kauptún, Urriðaholt, Garðabær, Höfuðborgarsvæðið, 210, Ísland",64.0744466,-21.9184428
Spain,Santander,"Ikea, Ronda de la Aurora Boreal, San Juan de Dios, Jerez de la Frontera, Campiña de Jerez, Andalucía, 11404, España",36.6953542,-6.1604237
Kuwait,Kuwait,"IKEA, شارع الشيخ زايد بن سلطان آل نهيان, الفروانية, 85201, Kuwait / الكويت",29.3021506,47.9302368
Kuwait,IKEA 360,"IKEA, شارع الشيخ زايد بن سلطان آل نهيان, الفروانية, 85201, Kuwait / الكويت",29.3021506,47.9302368
Finland,Espoo,"Ikea Espoo, Vesirattaanmäki, Bemböle, Vanha-Espoo, Espoo, Helsingin seutukunta, Uusimaa, Manner-Suomi, 02770, Suomi",60.2187635,24.6619818
Finland,Raisio,"IKEA Raisio, 15, Itäniityntie, Kuninkoja, Raisio, Turun seutukunta, Varsinais-Suomi, Lounais-Suomen aluehallintovirasto, Manner-Suomi, 21280, Suomi",60.4945089,22.2284682
Finland,Kuopio,"Ikea Kuopio, 2, Ratarinteenkatu, Ikano, Pitkälahti, Kuopio, Kuopion seutukunta, Pohjois-Savo, Manner-Suomi, 70800, Suomi",62.824523400000004,27.6053001969524
Finland,Tampere,"IKEA Tampere, 4, Leppästensuonkatu, Lakalaiva, Tampere, Tampereen seutukunta, Pirkanmaa, Manner-Suomi, 33840, Suomi",61.45298165,23.770381533707557
Finland,Vantaa,"IKEA Vantaa, 18, Porttisuontie, Hakkilankallio, Kuninkaala, Tikkurilan suuralue, Vantaa, Helsingin seutukunta, Uusimaa, Etelä-Suomen aluehallintovirasto, Manner-Suomi, 01380, Suomi",60.2765576,25.0837629
China,Beijing Xihongmen,"宜家家居(西红门店), 欣雅街, 大兴区, 北京市, 102617, China 中国",39.78805345,116.31855975471723
China,Foshan,"佛山宜家商场 佛山宜家商场 IKEA, 宝石西路, 佛山市, 南海区, 广东省, 258251, China 中国",23.060121000000002,113.1510863439425
China,Guangzhou Tianhe,"IKEA宜家广州天河店, 黄埔大道东, 石溪村, 前进街道, 天河区, 广东省, 510308, China 中国",23.1071777,113.4104973
China,Guangzhou Panyu,"IKEA, 金山大道西, 里仁洞, 番禺区, 广东省, 511442, China 中国",22.9826639,113.3375308
China,Shenzhen,"宜家家居, 北环大道辅路, 桃园街道, 广东省, 518063, China 中国",22.55806025,113.96046886664686
China,Nanjing,"宜家家居, 江宁路, 秦淮区, 南京市, 江苏省, 210006, China 中国",31.995693,118.79208155877643
China,Nantong,"宜家家居, 永盛路, 保利香槟国际, 永兴街道, 港闸区, 南通市, 江苏省, 226000, China 中国",32.03790615,120.82515178061988
China,Suzhou,"IKEA, 大同东路, 苏州高新技术产业开发区, 虎丘区, 江苏省, China 中国",31.3690533,120.5288851
China,Wuxi,"Ikea, 1号, 团结中路, 无锡市, 锡山区 (Xishan), 江苏省, 214101, China 中国",31.5826494,120.38854028873341
China,Dalian,"Ikea, 海防街, 香炉礁街道, 大连市, 辽宁省, 116011, China 中国",38.9271657,121.6005996
China,Shenyang,"IKEA, 兴华北街, 贵和街道, 铁西区, 辽宁省, 110020, China 中国",41.8054979,123.37320049478444
China,Shanghai Baoshan,"Ikea, 1818, 沪太路, 大场镇, 上海市, 200436, China 中国",31.2908583,121.4126618
China,Shanghai Xuhui,"宜家家居, 华石路, 创世纪花园, 长桥, 徐汇区, 上海市, 200030, China 中国",31.179900349999997,121.42941334306276
China,Xi'an,"宜家家居, 枣园西路, 三桥街道, 未央区 (Weiyang), 陕西省, China 中国",34.2876965,108.8430799
China,Hangzhou,"宜家家居, 乔司街道, 余杭区, 浙江省, China 中国",30.34564885,120.27974142435005
China,Ningbo,"IKEA, Xiaying Beilu, 宁波市, 潘火街道, 鄞州区, 浙江省, 315051, China 中国",29.8460169,121.5984838
